"FECHA_HORA",FECHA,HORA,AMPM,WATERQ_Cond25,DATASET
2013-08-01:03:48,01/08/2013,03:48:00,p.m.,98.23,DATASET-PGY-WATERQ_Cond25
2013-08-01:04:24,01/08/2013,04:24:00,p.m.,98.43,DATASET-PGY-WATERQ_Cond25
2013-08-01:04:46,01/08/2013,04:46:00,p.m.,98.4,DATASET-PGY-WATERQ_Cond25
2013-08-01:05:07,01/08/2013,05:07:00,p.m.,98.55,DATASET-PGY-WATERQ_Cond25
2017-02-02:07:08,02/02/2017,07:08:00,p.m.,135.07,DATASET-PGY-WATERQ_Cond25
2014-06-02:01:30,02/06/2014,01:30:00,p.m.,95.88,DATASET-PGY-WATERQ_Cond25
2014-06-02:12:45,02/06/2014,12:45:00,p.m.,105.97,DATASET-PGY-WATERQ_Cond25
2012-11-02:10:45,02/11/2012,10:45:00,a.m.,123.312,DATASET-PGY-WATERQ_Cond25
2012-11-02:11:15,02/11/2012,11:15:00,a.m.,122.463,DATASET-PGY-WATERQ_Cond25
2012-11-02:11:33,02/11/2012,11:33:00,a.m.,121.737,DATASET-PGY-WATERQ_Cond25
2012-11-02:11:56,02/11/2012,11:56:00,a.m.,164.741,DATASET-PGY-WATERQ_Cond25
2012-01-05:05:55,05/01/2012,05:55:00,p.m.,170.88,DATASET-PGY-WATERQ_Cond25
2013-02-05:06:32,05/02/2013,06:32:00,p.m.,157.73,DATASET-PGY-WATERQ_Cond25
2013-02-05:06:58,05/02/2013,06:58:00,p.m.,157.47,DATASET-PGY-WATERQ_Cond25
2013-02-05:07:18,05/02/2013,07:18:00,p.m.,158.38,DATASET-PGY-WATERQ_Cond25
2013-02-05:07:36,05/02/2013,07:36:00,p.m.,160.11,DATASET-PGY-WATERQ_Cond25
2014-08-07:11:30,07/08/2014,11:30:00,a.m.,95.82,DATASET-PGY-WATERQ_Cond25
2014-08-07:11:50,07/08/2014,11:50:00,a.m.,97.09,DATASET-PGY-WATERQ_Cond25
2016-11-08:05:00,08/11/2016,05:00:00,p.m.,194,DATASET-PGY-WATERQ_Cond25
2016-12-15:10:30,15/12/2016,10:30:00,a.m.,144.78,DATASET-PGY-WATERQ_Cond25
2011-08-16:05:38,16/08/2011,05:38:00,p.m.,73.675,DATASET-PGY-WATERQ_Cond25
2011-08-16:05:58,16/08/2011,05:58:00,p.m.,76.64,DATASET-PGY-WATERQ_Cond25
2011-08-16:06:18,16/08/2011,06:18:00,p.m.,80.268,DATASET-PGY-WATERQ_Cond25
2016-08-18:11:53,18/08/2016,11:53:00,a.m.,120.89,DATASET-PGY-WATERQ_Cond25
2012-06-20:02:20,20/06/2012,02:20:00,p.m.,155.395,DATASET-PGY-WATERQ_Cond25
2012-06-20:02:38,20/06/2012,02:38:00,p.m.,155.373,DATASET-PGY-WATERQ_Cond25
2012-06-20:02:57,20/06/2012,02:57:00,p.m.,155.389,DATASET-PGY-WATERQ_Cond25
2012-06-20:03:15,20/06/2012,03:15:00,p.m.,155.521,DATASET-PGY-WATERQ_Cond25
2011-02-22:01:01,22/02/2011,01:01:00,p.m.,81.38,DATASET-PGY-WATERQ_Cond25
2011-02-22:01:35,22/02/2011,01:35:00,p.m.,82.385,DATASET-PGY-WATERQ_Cond25
2011-02-22:01:56,22/02/2011,01:56:00,p.m.,83.551,DATASET-PGY-WATERQ_Cond25
2011-02-22:02:05,22/02/2011,02:05:00,p.m.,82.824,DATASET-PGY-WATERQ_Cond25
2013-04-22:06:29,22/04/2013,06:29:00,p.m.,88,DATASET-PGY-WATERQ_Cond25
2013-04-22:06:50,22/04/2013,06:50:00,p.m.,88,DATASET-PGY-WATERQ_Cond25
2012-08-22:05:07,22/08/2012,05:07:00,p.m.,145.01,DATASET-PGY-WATERQ_Cond25
2012-08-22:05:25,22/08/2012,05:25:00,p.m.,146,DATASET-PGY-WATERQ_Cond25
2012-08-22:05:47,22/08/2012,05:47:00,p.m.,146,DATASET-PGY-WATERQ_Cond25
2016-09-22:09:15,22/09/2016,09:15:00,a.m.,171.35,DATASET-PGY-WATERQ_Cond25
2013-11-26:01:03,26/11/2013,01:03:00,p.m.,117,DATASET-PGY-WATERQ_Cond25
2013-11-26:12:28,26/11/2013,12:28:00,p.m.,117,DATASET-PGY-WATERQ_Cond25
